LME,mean_sd_source,mean_sd,ssp
Aleutian Islands (10),mem,23.09646114,126
Baffin Bay (16),mem,1009.311322,126
Barents Sea (5),mem,21820.98499,126
Beaufort Sea (14),mem,24081.99013,126
Central Arctic (13),mem,16225.86092,126
Chukchi Sea (12),mem,8727.12508,126
East Bering Sea (9),mem,19.56658245,126
East Siberian Sea (8),mem,103.1599488,126
Faroe Plateau (1),mem,8.479865785,126
Greenland Sea (3),mem,2128.642749,126
Hudson Bay (17),mem,1759.840748,126
Iceland (2),mem,12.8674007,126
Kara Sea (6),mem,2051.665085,126
Labrador Sea (18),mem,43.27779712,126
Laptev Sea (7),mem,119.8597054,126
Northern Canadian Archipelago (15),mem,246.1795079,126
Norwegian Sea (4),mem,89.64526613,126
West Bering Sea (11),mem,37.3558687,126
Aleutian Islands (10),esm,11.3014312,126
Baffin Bay (16),esm,236.491059,126
Barents Sea (5),esm,4823.911736,126
Beaufort Sea (14),esm,5092.626934,126
Central Arctic (13),esm,3846.535591,126
Chukchi Sea (12),esm,1707.765703,126
East Bering Sea (9),esm,8.833094782,126
East Siberian Sea (8),esm,42.0309437,126
Faroe Plateau (1),esm,5.840920545,126
Greenland Sea (3),esm,435.0730202,126
Hudson Bay (17),esm,429.7352935,126
Iceland (2),esm,8.878400402,126
Kara Sea (6),esm,376.4603564,126
Labrador Sea (18),esm,13.21359569,126
Laptev Sea (7),esm,38.50664976,126
Northern Canadian Archipelago (15),esm,79.09470004,126
Norwegian Sea (4),esm,27.59456588,126
West Bering Sea (11),esm,15.51756808,126
